arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value
9,7.669166666666666,5.513761002809609,1,Free Period,3,0.1
9,7.113611111111111,4.70812742063894,1,Free Period,2,0.0
12,3.832777777777778,2.0922873671576294,1,Free Period,2,0.0
13,1.6697222222222223,1.12811952804331,0,Free Period,0,-0.2
13,4.020555555555555,2.85540513727387,1,Free Period,2,0.0
6,9.501666666666669,2.99815771175098,0,Free Period,2,0.0
7,3.668888888888889,5.63967318055501,1,Free Period,0,-0.2
7,10.331944444444444,5.24565264657852,0,Free Period,2,0.0
7,3.1425,9.167534360097,2,Free Period,4,0.2
7,9.046944444444444,4.10351558506175,1,Free Period,1,-0.1
8,7.9255555555555555,-1.3705577441819,1,Free Period,1,-0.1
8,7.5905555555555555,2.0501056980148693,1,Free Period,0,-0.2
8,7.767222222222222,5.7742599779301,2,Free Period,3,0.1
8,8.202222222222222,2.5296654777110903,0,Free Period,0,-0.2
8,3.92,1.2264282674038496,0,Free Period,3,0.1
8,6.135277777777778,-3.5905284228877505,0,Free Period,1,-0.1
9,7.861944444444444,2.75893912297496,0,Free Period,0,-0.2
9,5.670555555555556,1.0600764546771,1,Free Period,4,0.2
9,8.615555555555556,18.0944019274177,2,Free Period,2,0.0
6,6.176111111111111,4.13324988789603,1,Free Period,3,0.1
6,9.226944444444444,-0.3445692399205899,0,Free Period,2,0.0
7,9.459166666666668,2.47713278764061,0,Free Period,2,0.0
8,8.416944444444445,2.4695236221461103,0,Free Period,0,-0.2
8,4.1338888888888885,5.36732820111198,1,Free Period,2,0.0
8,8.607222222222223,-0.4931128042898898,0,Free Period,4,0.2
8,6.223333333333334,5.4817938167694,2,Free Period,2,0.0
8,9.069444444444445,15.6405831765171,2,Free Period,0,-0.2
9,7.996944444444445,3.3019605752793604,1,Free Period,4,0.2
9,5.813611111111111,2.572555663313601,1,Free Period,1,-0.1
10,5.341666666666667,5.241875190647599,2,Free Period,2,0.0
13,4.696944444444444,0.1740301056209903,0,Free Period,0,-0.2
7,10.02361111111111,18.35758945409589,2,Free Period,1,-0.1
8,9.793055555555556,0.5233311092960502,0,Free Period,1,-0.1
9,7.978888888888889,3.47761655939046,0,Free Period,3,0.1
9,5.798055555555556,4.534930212231901,2,Free Period,4,0.2
