arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value,price_sensitive_flag,delivered_energy,revenue,peak_penalty,discomfort_penalty,reward
8,8.153055555555556,4.733047017479301,2,Free Period,3,0.1,1,34.07793852585097,3.407793852585097,1,1,-4.5922061474149025
9,8.508333333333333,6.05876769491411,1,Free Period,2,0.0,1,43.623127403381595,0.0,1,0,-5.0
9,5.7225,8.440943835935,2,Free Period,3,0.1,1,41.202000000000005,4.1202000000000005,1,1,-3.8797999999999995
9,8.625555555555556,1.87498127186834,0,Free Period,3,0.1,1,13.49986515745205,1.3499865157452051,1,1,-6.650013484254795
9,7.291111111111111,6.8227979005365,2,Free Period,0,-0.2,1,49.124144883862805,-9.824828976772562,1,0,-14.824828976772562
7,3.8825,9.6155292572102,2,Free Period,2,0.0,1,27.954,0.0,0,0,0.0
7,8.403333333333334,-4.09678725784504,0,Free Period,4,0.2,1,0.0,0.0,0,1,-3.0
7,9.385,0.1396089572458798,0,Free Period,2,0.0,1,1.0051844921703346,0.0,0,0,0.0
7,10.005,3.9346734423535104,1,Free Period,4,0.2,1,28.329648784945274,5.665929756989055,0,1,2.6659297569890548
8,8.800555555555556,6.7878637868117,2,Free Period,0,-0.2,1,48.87261926504424,-9.77452385300885,1,0,-14.77452385300885
8,8.455833333333333,2.3406578389372004,0,Free Period,1,-0.1,1,16.852736440347844,-1.6852736440347844,1,0,-6.685273644034784
8,9.645277777777778,4.96055991865385,1,Free Period,3,0.1,1,35.71603141430772,3.5716031414307725,1,1,-4.4283968585692275
9,6.763888888888889,5.1310857874068105,1,Free Period,0,-0.2,1,36.943817669329036,-7.3887635338658075,1,0,-12.388763533865808
9,7.305555555555555,4.4078244304647,1,Free Period,3,0.1,1,31.736335899345843,3.1736335899345844,1,1,-4.826366410065416
12,5.401388888888889,4.065282048493991,1,Free Period,1,-0.1,1,29.270030749156735,-2.9270030749156737,0,0,-2.9270030749156737
7,6.4463888888888885,8.0430381639738,2,Free Period,1,-0.1,1,46.414,-4.6414,0,0,-4.6414
7,8.7675,4.2048599195496,1,Free Period,0,-0.2,1,30.27499142075712,-6.0549982841514245,0,0,-6.0549982841514245
7,9.673333333333334,3.95317469859554,0,Free Period,1,-0.1,1,28.462857829887888,-2.846285782988789,0,0,-2.846285782988789
7,5.269722222222223,5.203783085502669,1,Free Period,4,0.2,1,37.46723821561922,7.493447643123844,0,1,4.493447643123844
7,3.266388888888889,7.611909578282431,2,Free Period,1,-0.1,1,23.518,-2.3518000000000003,0,0,-2.3518000000000003
8,8.58361111111111,5.80965614240967,1,Free Period,3,0.1,1,41.82952422534963,4.182952422534963,1,1,-3.817047577465037
8,7.810555555555555,0.4213189957665797,0,Free Period,3,0.1,1,3.033496769519374,0.30334967695193743,1,1,-7.696650323048063
