driverId,arrival_hour,park_duration,kwh_requested,energy_charged,energy_gap,demand_level,price_sensitive
39,8,8.911388888888888,10.5,5.76303894067672,4.73696105932328,Medium,Free Period
2574,9,8.994722222222222,27.0,9.86570462783349,17.134295372166513,High,Free Period
161,9,7.684444444444445,15.0,10.1248021074882,4.8751978925118,Medium,Free Period
2635,9,2.9547222222222222,10.5,5.71389704988861,4.78610295011139,Medium,Free Period
30,12,4.3875,21.0,15.389641170249,5.610358829751,High,Free Period
27,13,1.5963888888888889,7.0,9.18334589016811,-2.183345890168111,Low,Free Period
159,6,9.389444444444445,14.0,8.95409693885857,5.045903061141431,Medium,Free Period
115,7,10.27138888888889,8.75,5.18710414100698,3.56289585899302,Medium,Free Period
85,7,8.224722222222223,9.0,8.11860374176166,0.8813962582383397,Medium,Free Period
2411,8,3.742777777777778,16.5,8.85415784736739,7.645842152632611,High,Free Period
2635,8,3.703333333333333,10.5,5.88174119350704,4.61825880649296,Medium,Free Period
10,8,8.131666666666666,14.0,10.0759549065254,3.9240450934746,Medium,Free Period
2574,9,8.849722222222223,27.0,12.015997833278,14.984002166722,High,Free Period
40,9,8.641666666666667,3.5,1.7019102366215,1.7980897633785,Low,Free Period
161,9,7.470555555555555,18.0,9.77886080238524,8.22113919761476,High,Free Period
27,13,2.4005555555555556,17.5,8.37608632479338,9.12391367520662,High,Free Period
2703,12,0.7091666666666666,4.5,1.57991299745183,2.92008700254817,Low,Free Period
16,7,4.039444444444444,24.0,15.494736480216,8.505263519784,High,Free Period
2725,7,5.154444444444445,10.5,9.34634077260245,1.1536592273975508,Medium,Free Period
2635,8,5.4783333333333335,10.5,5.24896770335559,5.25103229664441,Medium,Free Period
115,8,9.769444444444444,8.75,4.11840690156333,4.63159309843667,Medium,Free Period
134,8,8.063888888888888,19.5,14.3561719203559,5.1438280796441,High,Free Period
2574,8,9.548055555555555,27.0,7.25007696735861,19.74992303264139,High,Free Period
27,8,3.5316666666666667,17.5,8.37241221245083,9.12758778754917,High,Free Period
27,8,3.5141666666666667,17.5,9.62898981419561,7.871010185804391,High,Free Period
2723,9,6.126666666666667,24.0,17.4904075855438,6.5095924144562005,High,Free Period
10,10,6.885833333333333,14.0,9.94028312623002,4.059716873769981,Medium,Free Period
40,11,6.484444444444445,14.0,9.92470982505599,4.07529017494401,Medium,Free Period
161,14,2.5816666666666666,21.0,9.53533686444312,11.46466313555688,High,Free Period
159,6,9.383888888888889,7.0,6.90970637109851,0.09029362890148995,Low,Free Period
2725,7,5.145277777777777,10.5,7.31356697391295,3.18643302608705,Medium,Free Period
108,8,4.4625,7.0,4.33887219173053,2.6611278082694696,Low,Free Period
27,8,3.721388888888889,17.5,8.92257650040698,8.57742349959302,High,Free Period
116,8,8.382777777777777,6.15,2.46174697358319,3.6882530264168105,Low,Free Period
2617,8,6.054722222222222,24.0,17.5986107244506,6.401389275549398,High,Free Period
125,9,7.6691666666666665,15.0,9.48623899719039,5.513761002809609,Medium,Free Period
161,9,7.113611111111111,13.5,8.79187257936106,4.70812742063894,Medium,Free Period
2723,12,3.832777777777778,12.0,9.90771263284237,2.0922873671576294,Medium,Free Period
94,13,1.6697222222222223,3.0,1.87188047195669,1.12811952804331,Low,Free Period
97,13,4.020555555555555,12.0,9.14459486272613,2.85540513727387,Medium,Free Period
159,6,9.501666666666667,7.0,4.00184228824902,2.99815771175098,Low,Free Period
415,7,3.668888888888889,13.5,7.86032681944499,5.63967318055501,Medium,Free Period
115,7,10.331944444444444,7.0,1.75434735342148,5.24565264657852,Low,Free Period
43,7,3.1425,21.0,11.832465639903,9.167534360097,High,Free Period
40,7,9.046944444444444,8.75,4.64648441493825,4.10351558506175,Medium,Free Period
87,8,7.9255555555555555,9.0,10.3705577441819,-1.3705577441819,Medium,Free Period
2725,8,7.5905555555555555,10.5,8.44989430198513,2.0501056980148693,Medium,Free Period
161,8,7.767222222222222,16.5,10.7257400220699,5.7742599779301,High,Free Period
116,8,8.202222222222222,6.15,3.62033452228891,2.5296654777110903,Low,Free Period
108,8,3.92,7.0,5.77357173259615,1.2264282674038496,Low,Free Period
